,Code,Name,Marcap,Assets,Liabilities,Equity,Profit,P/E,PER
1392,095610,테스,526823222900.0,329346876360,72387946187,256958930173,27880733726.0,2.0502234444442595,18.895601101369667
1387,124560,태웅로직스,167821043280.0,170595144811,102437456382,68157688429,8802763235.0,2.4622466980349476,19.064586743937344
70,025000,KPX케미칼,283140000000.0,700563688437,159506212241,541057476196,14766911329.0,0.523308543836536,19.173948681059354
1096,023410,유진기업,378436674385.0,4714477340183,3889627115962,824850224221,19724974398.0,0.45879441294011997,19.18566111920385
537,035150,백산,193600000000.0,310993468458,179521068154,131472400304,10046798823.0,1.472552410637853,19.26981951273814
374,006040,동원산업,864245635000.0,3216254643273,1872836783566,1343417859707,44815389273.0,0.6433185540562133,19.284572755472716
123,001740,SK네트웍스,1270720752640.0,9053999000000,6762879000000,2291120000000,65523000000.0,0.5546286325639862,19.393506900477696
1634,298000,효성화학,813482130000.0,2688333247599,2230554556761,457778690838,41886301251.0,1.7770205260337846,19.42119752052776
1340,003070,코오롱글로벌,617655731000.0,2512994118798,2003239402290,509754716508,31692199483.0,1.211672420083055,19.489203686582766
1251,208350,지란지교시큐리티,46433564190.0,99923249026,27223614948,72699634078,2376139027.0,0.6387042352947894,19.541602432507833
763,036710,심텍홀딩스,126870366480.0,815678284101,496129541694,319548742407,6490025390.0,0.39702977869463457,19.548516200797174
974,000670,영풍,1259955360000.0,5032315247881,1265537111884,3766778135997,64311494846.0,0.3344915241912733,19.591448822906123
1106,039020,이건홀딩스,143412902150.0,669992828008,384007591697,285985236311,7311094466.0,0.5014696003189583,19.615791153696193
1549,004960,한신공영,212322381700.0,1868466168120,1241107284233,627358883887,10779265066.0,0.33843847142880906,19.697296652413538
1424,177830,파버나인,62971252240.0,133286906980,66736809361,66550097619,3192848480.0,0.9462232888148575,19.722593362776802
1219,094970,제이엠티,55771639200.0,125195006164,63359653312,61835352852,2824616278.0,0.901937752882025,19.74485512753956
1460,103140,풍산,899579323800.0,2742385647000,1259841874188,1482543772812,45473228348.0,0.6067809533162937,19.782614001267962
1190,219550,디와이디대양,33607529060.0,36127803615,8564517212,27563286403,1690599705.0,1.219285994007672,19.879057686219102
1357,284740,쿠쿠홈시스,900858799500.0,767667515641,198614207172,569053308469,45156542522.0,1.5830833176661436,19.949685011006032
